Number,Tournament,Season,Playoff round,Team 1,Team 2,Home odds game 1,Draw odds game 1,Away odds game 1,ELO Rating ,Home Goals game 1,Away goals game 1,Result,Goal difference,Team 2,Team 1,Home odds game 2,Draw odds game 2,Away odds game 2,ELO Rating ,Home Goals game 2,Away goals game 2,Result,Goal difference
58,Champions League,1213,1/8-final,Valencia,Paris SG,2.43,3.35,3.21,-48.35950352,1,2,2,-1,Paris SG,Valencia,1.97,3.45,4.47,-142.3365188,1,1,X,0
59,Champions League,1213,1/8-final,Celtic,Juventus,4.88,3.58,1.86,167.5627511,0,3,2,-3,Juventus,Celtic,1.45,4.76,8.1,-298.8468067,2,0,1,2
60,Champions League,1213,1/8-final,Shakhtar Donetsk,Dortmund,2.5,3.41,3.04,-33.97342997,2,2,X,0,Dortmund,Shakhtar Donetsk,1.67,4.2,5.44,-205.1529714,3,0,1,3
61,Champions League,1213,1/8-final,Real Madrid,Manchester United,1.53,5.15,5.75,-229.9905655,1,1,X,0,Manchester United,Real Madrid,3.1,3.58,2.38,45.91389471,1,2,2,-1
62,Champions League,1213,1/8-final,FC Porto,Malaga,1.62,3.89,6.64,-245.0612259,1,0,1,1,Malaga,FC Porto,2.84,3.29,2.73,6.862277203,2,0,1,2
63,Champions League,1213,1/8-final,Arsenal,Bayern Munich,4.48,3.69,1.9,149.0097652,1,3,2,-2,Bayern Munich,Arsenal,1.33,6.3,9.25,-336.9160367,0,2,2,-2
64,Champions League,1213,1/8-final,Galatasaray,Schalke,2.4,3.55,3.15,-47.23972483,1,1,X,0,Schalke,Galatasaray,1.74,4.12,4.95,-181.6223803,2,3,2,-1
65,Champions League,1213,1/8-final,AC Milan,Barcelona,6.51,4.12,1.6,243.7844024,2,0,1,2,Barcelona,AC Milan,1.29,6.45,11.3,-376.9954933,4,0,1,4
66,Champions League,1112,Semifinal,Bayern Munich,Real Madrid,2.65,3.52,2.79,-8.943331735,2,1,1,1,Real Madrid,Bayern Munich,1.52,4.93,6.35,-248.3720549,2,1,1,1
67,Champions League,1112,Semifinal,Chelsea,Barcelona,5.3,4.11,1.7,197.5307793,1,0,1,1,Barcelona,Chelsea,1.24,7.6,11.75,-390.6464726,2,2,X,0
68,Champions League,1112,Quarterfinal,Benfica,Chelsea,2.27,3.45,3.45,-72.71729515,0,1,2,-1,Chelsea,Benfica,1.67,4.01,5.85,-217.775758,2,1,1,1
69,Champions League,1112,Quarterfinal,APOEL ,Real Madrid,10.99,5.16,1.36,362.9835136,0,3,2,-3,Real Madrid,APOEL ,1.09,13.8,37,-612.3100905,5,2,1,3
70,Champions League,1112,Quarterfinal,Marseille,Bayern Munich,4.95,3.75,1.81,174.7706496,0,2,2,-2,Bayern Munich,Marseille,1.43,4.8,8.65,-312.672028,2,0,1,2
71,Champions League,1112,Quarterfinal,AC Milan,Barcelona,4.96,4.08,1.75,180.9774511,0,0,X,0,Barcelona,AC Milan,1.25,6.9,12.95,-406.1439022,3,1,1,2
72,Champions League,1112,1/8-final,Lyon,APOEL,1.51,4.18,8.49,-299.9722972,1,0,1,1,APOEL,Lyon,2.88,3.41,2.62,16.43647858,1,0,1,1
73,Champions League,1112,1/8-final,Bayer Leverkusen,Barcelona,9.85,5.19,1.37,342.6862653,1,3,2,-2,Barcelona,Bayer Leverkusen,1.12,10.35,26.5,-549.6111405,7,1,1,6
74,Champions League,1112,1/8-final,Zenit Petersburg,Benfica,2.42,3.3,3.27,-52.29295467,3,2,1,1,Benfica,Zenit Petersburg,1.79,3.75,5.09,-181.5459005,2,0,1,2
